a,b,c,density,early_density,max_streak,total_primes,first_primes
1,927,2833,0.4826,0.7733333333333333,13,2413,"[[1, 3761], [2, 4691], [3, 5623], [6, 8431], [7, 9371], [8, 10313], [9, 11257], [10, 12203], [11, 13151], [13, 15053]]"
3,2241,3607,0.4818,0.7066666666666667,21,2409,"[[1, 5851], [2, 8101], [3, 10357], [4, 12619], [5, 14887], [7, 19441], [8, 21727], [9, 24019], [10, 26317], [11, 28621]]"
2,2486,1801,0.4808,0.6933333333333334,11,2404,"[[1, 4289], [2, 6781], [3, 9277], [4, 11777], [5, 14281], [7, 19301], [8, 21817], [9, 24337], [10, 26861], [11, 29389]]"
5,1915,1543,0.4808,0.8,11,2404,"[[1, 3463], [2, 5393], [3, 7333], [4, 9283], [5, 11243], [7, 15193], [8, 17183], [9, 19183], [10, 21193], [12, 25243]]"
5,1925,3463,0.4808,0.8,11,2404,"[[1, 5393], [2, 7333], [3, 9283], [4, 11243], [6, 15193], [7, 17183], [8, 19183], [9, 21193], [11, 25243], [12, 27283]]"
2,2490,4289,0.4808,0.6933333333333334,11,2404,"[[1, 6781], [2, 9277], [3, 11777], [4, 14281], [6, 19301], [7, 21817], [8, 24337], [9, 26861], [10, 29389], [12, 34457]]"
2,2038,709,0.4808,0.72,15,2404,"[[1, 2749], [2, 4793], [3, 6841], [4, 8893], [5, 10949], [6, 13009], [7, 15073], [9, 19213], [11, 23369], [12, 25453]]"
2,2042,2749,0.4806,0.72,15,2403,"[[1, 4793], [2, 6841], [3, 8893], [4, 10949], [5, 13009], [6, 15073], [8, 19213], [10, 23369], [11, 25453], [12, 27541]]"
2,2330,1531,0.4804,0.76,12,2402,"[[1, 3863], [2, 6199], [3, 8539], [4, 10883], [6, 15583], [7, 17939], [10, 25031], [13, 32159], [14, 34543], [15, 36931]]"
2,2046,4793,0.4804,0.72,15,2402,"[[1, 6841], [2, 8893], [3, 10949], [4, 13009], [5, 15073], [7, 19213], [9, 23369], [10, 25453], [11, 27541], [12, 29633]]"
1,1923,523,0.4802,0.7466666666666667,12,2401,"[[1, 2447], [2, 4373], [3, 6301], [4, 8231], [5, 10163], [6, 12097], [7, 14033], [8, 15971], [9, 17911], [10, 19853]]"
2,2334,3863,0.4802,0.7466666666666667,12,2401,"[[1, 6199], [2, 8539], [3, 10883], [5, 15583], [6, 17939], [9, 25031], [12, 32159], [13, 34543], [14, 36931], [15, 39323]]"
1,1925,2447,0.48,0.7333333333333333,12,2400,"[[1, 4373], [2, 6301], [3, 8231], [4, 10163], [5, 12097], [6, 14033], [7, 15971], [8, 17911], [9, 19853], [11, 23743]]"
2,1982,79,0.4798,0.7466666666666667,11,2399,"[[1, 2063], [2, 4051], [3, 6043], [4, 8039], [5, 10039], [6, 12043], [7, 14051], [8, 16063], [11, 22123], [12, 24151]]"
